1	A	M	F0	SL	2	
1	A	M	F0	SL	11	
1	A	M	F0	SL	14	
2	A	M	F0	AL	5	
2	A	M	F0	AL	5	
2	A	M	F0	AL	13	
2	A	M	F0	AL	20	
2	A	M	F0	AL	22	
3	A	M	F1	SL	6	
3	A	M	F1	SL	6	
3	A	M	F1	SL	15	
4	A	M	F1	AL	7	
4	A	M	F1	AL	14	
5	A	M	F2	SL	6	
5	A	M	F2	SL	32	
5	A	M	F2	SL	53	
5	A	M	F2	SL	57	
6	A	M	F2	AL	14	
6	A	M	F2	AL	16	
6	A	M	F2	AL	16	
6	A	M	F2	AL	17	
6	A	M	F2	AL	40	
6	A	M	F2	AL	43	
6	A	M	F2	AL	46	
7	A	M	F3	SL	12	
7	A	M	F3	SL	15	
8	A	M	F3	AL	8	
8	A	M	F3	AL	23	
8	A	M	F3	AL	23	
8	A	M	F3	AL	28	
8	A	M	F3	AL	34	
8	A	M	F3	AL	36	
8	A	M	F3	AL	38	
9	A	F	F0	SL	3	
10	A 	F	F0	AL	5	
10	A 	F	F0	AL	11	
10	A 	F	F0	AL	24	
10	A 	F	F0	AL	45	
11	A	F	F1	SL	5	
11	A	F	F1	SL	6	
11	A	F	F1	SL	6	
11	A	F	F1	SL	9	
11	A	F	F1	SL	13	
11	A	F	F1	SL	23	
11	A	F	F1	SL	25	
11	A	F	F1	SL	32	
11	A	F	F1	SL	53	
11	A	F	F1	SL	54	
12	A	F	F1	AL	5	
12	A	F	F1	AL	5	
12	A	F	F1	AL	11	
12	A	F	F1	AL	17	
12	A	F	F1	AL	19	
13	A	F	F2	SL	8	
13	A	F	F2	SL	13	
13	A	F	F2	SL	14	
13	A	F	F2	SL	20	
13	A	F	F2	SL	47	
13	A	F	F2	SL	48	
13	A	F	F2	SL	60	
13	A	F	F2	SL	81	
14	A	F	F2	AL	2	
15	A	F	F3	SL	5	
15	A	F	F3	SL	9	
15	A	F	F3	SL	7	
16	A	F	F3	AL	0	
16	A	F	F3	AL	2	
16	A	F	F3	AL	3	
16	A	F	F3	AL	5	
16	A	F	F3	AL	10	
16	A	F	F3	AL	14	
16	A	F	F3	AL	21	
16	A	F	F3	AL	36	
16	A	F	F3	AL	40	
17	N	M	F0	SL	6	
17	N	M	F0	SL	17	
17	N	M	F0	SL	67	
18	N	M	F0	AL	0	
18	N	M	F0	AL	0	
18	N	M	F0	AL	2	
18	N	M	F0	AL	7	
18	N	M	F0	AL	11	
18	N	M	F0	AL	12	
19	N	M	F1	SL	0	
19	N	M	F1	SL	0	
19	N	M	F1	SL	5	
19	N	M	F1	SL	5	
19	N	M	F1	SL	5	
19	N	M	F1	SL	11	
19	N	M	F1	SL	17	
20	N	M	F1	AL	3	
20	N	M	F1	AL	3	
21	N	M	F2	SL	22	
21	N	M	F2	SL	30	
21	N	M	F2	SL	36	
22	N	M	F2	AL	8	
22	N	M	F2	AL	0	
22	N	M	F2	AL	1	
22	N	M	F2	AL	5	
22	N	M	F2	AL	7	
22	N	M	F2	AL	16	
22	N	M	F2	AL	27	
23	N	M	F3	SL	12	
23	N	M	F3	SL	15	
24	N	M	F3	AL	0	
24	N	M	F3	AL	30	
24	N	M	F3	AL	10	
24	N	M	F3	AL	14	
24	N	M	F3	AL	27	
24	N	M	F3	AL	41	
24	N	M	F3	AL	69	
25	N	F	F0	SL	25	
26	N	F	F0	AL	10	
26	N	F	F0	AL	11	
26	N	F	F0	AL	20	
26	N	F	F0	AL	33	
27	N	F	F1	SL	5	
27	N	F	F1	SL	7	
27	N	F	F1	SL	0	
27	N	F	F1	SL	1	
27	N	F	F1	SL	5	
27	N	F	F1	SL	5	
27	N	F	F1	SL	5	
27	N	F	F1	SL	5	
27	N	F	F1	SL	7	
27	N	F	F1	SL	11	
27	N	F	F1	SL	15	
28	N	F	F1	AL	5	
28	N	F	F1	AL	14	
28	N	F	F1	AL	6	
28	N	F	F1	AL	6	
28	N	F	F1	AL	7	
28	N	F	F1	AL	28	
29	N	F	F2	SL	0	
29	N	F	F2	SL	5	
29	N	F	F2	SL	14	
29	N	F	F2	SL	2	
29	N	F	F2	SL	2	
29	N	F	F2	SL	3	
29	N	F	F2	SL	8	
29	N	F	F2	SL	10	
29	N	F	F2	SL	12	
30	N	F	F2	AL	1	
31	N	F	F3	SL	8	
32	N	F	F3	AL	1	
32	N	F	F3	AL	9	
32	N	F	F3	AL	22	
32	N	F	F3	AL	3	
32	N	F	F3	AL	3	
32	N	F	F3	AL	5	
32	N	F	F3	AL	15	
32	N	F	F3	AL	18	
32	N	F	F3	AL	22	
32	N	F	F3	AL	37	
